name,full_name,title,company,city,state,country,areas_of_expertise,biography,linkedin,website
Ruh Hussain,Ruh Hussain,Special Advisor to the Ministry of Defence,UK Ministry of Defence,Ascot,Other,,"Automation, Business Development, Cybersecurity, Data and Analytics, Founder Wellness, Fundraising, Go-To Market Strategy, Growth Strategy, Leadership and Management, Market Research, Pitching, Product Development, Product Research, Sales, Software Development, Other, B2B Sales","Ruh Hussain is a defence and AI strategist with expertise spanning the Ministry of Defence, the British Army, and the private sector. As Special Advisor to the Assistant Chief of the General Staff, he leads the Army's AI capability development and governance agenda. Previously, he founded Syncrosis, a defence-AI company that supported intelligence operations with NATO and Ukraine, and has worked with organisations including the EU and national governments. Ruh now mentors early-stage startups,",https://www.linkedin.com/in/ruh-hussain/,Nabil Ahsan | Fractal Grid
Nabil Ahsan,Nabil Ahsan,Founder and Product Designer,Fractal Grid,Katy,Texas,,"Design Thinking, Go-To Market Strategy, Growth Strategy, Marketing, Pitching, Product Development, Branding","I'm Nabil and I design software. I've been in Product and UX Design for the past 5 years where I worked at agencies, enterprise, and venture studios. I'm currently running my own design studio, Fractal Grid, where I work with early-stage founders to bring their ideas to life.",https://www.linkedin.com/in/nabilahsan/,"https://www.mdnabilahsan.com/
dieter emmer | TBA"
dieter emmer,dieter emmer,Blockchain Lead,TBA,,,,"B2B Sales, Automation, Business Development, KPIs and Business Metrics, Leadership and Management, Revenue Models, Other, Design Thinking, Data and Analytics, Product Research, Market Research, Growth Strategy",,linkedin.com/in/dieter-r-emmer-797461,linkedin.com/in/dieter-r-emmer-797461
Katherine Roth,Katherine Roth,Executive Director,Jamestown Regional Entrepreneur Center,Jamestown,North Dakota,,Other,I assisted with starting a regional non-profit organization that is focused on developing awareness of entrepreneurship and providing resources to existing small business owners in North Dakota.,,
Maggie Graff,Maggie Graff,Head of Community,FS Vector,St. Paul,Minnesota,,"Business Development, Go-To Market Strategy, Product Development, Regulatory and Compliance, KPIs and Business Metrics","I have a deep understanding and passion for small business and I love to help it thrive. I love to work with financial modeling, market research and entrepreneurship opportunities. I have worked in the energy, financial services, medtech and contract manufacturing and love to learn about all industries through my partnership with small business. Reach out if you have passion around growing your business.",https://www.linkedin.com/in/mgraff1/,https://www.hillcapitalcorp.com/
Matt Lea,Matt Lea,Web Application Architect,Schematical.com,Madison,Wisconsin,,"Cybersecurity, Automation, Software Development, Data and Analytics, Other","I have helped companies big and small scale their web based products, some as big as over $250,000/year gross. My current fun challenge is helping AI/ML startups scale up their offerings.
For more specifics on what I am doing check out my Youtube Channel where I teach people about the art of scaling your tech on AWS: https://www.youtube.com/schematical",https://www.linkedin.com/in/schematical/,https://schematical.com/
NM Comms,NM Comms,,CMRignite,,,,Marketing,,,
Alfiza Urmanova,Alfiza Urmanova,Global Strategic Pricing Consultant,Cargill,Minneapolis,Minnesota,,"B2B Sales, Data and Analytics, Pitching, Revenue Models, Other","With a background in management consulting, I have global experience helping Fortune 500 organizations navigate complex business challenges. Currently, I specialize in designing and implementing global pricing strategies for sustainable industrial solutions, driving profitability while uncovering the true value of these products. My expertise lies in leveraging data-driven insights and qualitative market inputs to optimize pricing strategies and improve margin performance. Throughout my career,",https://www.linkedin.com/in/alfizaurmanova/,
Dmitry Starodubov,Dmitry Starodubov,CEO,DSTAR Communications,Woodland Hills,California,,"Business Development, Growth Strategy, Intellectual Property and Licensing, Leadership and Management, Manufacturing, Pitching, Product Development","Dr. Dmitry S. Starodubov, CEO, DSTAR Communications, earned his M.S. Engineering at MTU MIREA (1992), and then PhD in Laser Physics at GPI RAS (1995) from the Nobel Prize Team for invention of laser (Academician Prokhorov). In 1996 he joined USC as NSF research fellow. In 1997 he invented soft writing of fiber Bragg gratings through the polymer, co-founded Sabeus Photonics with focus on deployable optical systems including Navy towed arrays and components for optical communications. In 2003-2009",,
Shovan Panigrahi,Shovan Panigrahi,Principal Corporate Strategy Consultant,Health Care Service Corporation,Chicago,Illinois,,"Business Development, Product Development, Product Research, Revenue Models, Market Research, Growth Strategy, Go-To Market Strategy, Pitching, Fundraising, Data and Analytics, Finance, KPIs and Business Metrics, Leadership and Management, Marketing","Shovan Panigrahi is a Principal Consultant on the Corporate Strategy and Transformation team at Health Care Service Corporation (HCSC), the largest customer-owned healthcare insurer in the US, where he leads new business initiatives. Shovan also has a background in healthcare venture capital, and he has worked with the Blue Venture Fund/Sandbox Industries, where he evaluated investments in precision medicine, healthcare IT, tech-enabled healthcare services, and medical devices.
Shovan also has",https://www.linkedin.com/in/shovan-panigrahi/,https://www.hcsc.com/
Akinsola Jegede,Akinsola Jegede,,Cox Automotive,Atlanta,,,,,https://www.linkedin.com/in/akinsolajegede/,Akinsola Jegede |
Manju Belgere,Manju Belgere,Process Architect,Intuit,Mountain View,California,,"B2B Sales, B2C Sales, Business Development, Data and Analytics, Finance, Go-To Market Strategy, Growth Strategy, KPIs and Business Metrics, Leadership and Management, Market Research, Product Development, Product Research, Revenue Models, Sales, Software Development, Other","My IT career has taken me through multiple roles and multiple domains that has been a great learning experience which I'm very grateful for. Been a developer, business analyst, consultant, systems architect, and product manager for various companies in the last 15 years. My passion is product building and systems solution. My experience has been in building SaaS products for hi-tech firms, and building CRM and ERP systems to power the business and grow.",www.linkedin.com/in/manjunatha-d-belgere-0a847a21,
Mahendra krishnapatnam,Mahendra krishnapatnam,Senior Architect,,Hawthorn woods,Illinois,,"Software Development, Product Development, Cybersecurity","With over 2 decades of IT, I have developed deep expertise in cyber security space and information security areas., Throughout my career, I have benefited from the guidance of mentors who helped shape my professional journey, and I am passionate to empower the next generation by sharing insights, real-time trends, best practices and building stronger networks.",https://www.linkedin.com/in/mahendra-krishnapatnam-7a623018/,
Taylor Knox,Taylor Knox,"Senior Manager, Cox Cleantech",Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/taylor-knox-jr-1a04a619/,
Erin  Connolly,Erin  Connolly,"Manager, Cox Cleantech",Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/erin-connolly-92354899/,
Matt  Kogan,Matt  Kogan,Sr. Director Growth Operations,Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/matthewkogan/,
Joy Dillard,Joy Dillard,"Sr. Director, Strategy & Investments",Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/joydillard/,
Noel  Hardin,Noel  Hardin,"Manager, Corporate Development",Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/noel-hardin-8b31a3a8/,
Spencer Boice,Spencer Boice,"VP, Growth Operations",Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/spencer-boice-12ba348/,
Vipul Gondalia,Vipul Gondalia,Fostware Engineer,Cox Communications,Atlanta,Georgia,,,,https://www.linkedin.com/in/vipul-gondalia-2757431a/,
Ordy Gnewou,Ordy Gnewou,Strategy Manager,Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/ordygnewou/,
Kim  Alfonso,Kim  Alfonso,*Functional SME Lead for HR / Org Design,Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/kimalfonsohrbizpartner/,
Brian Anderson,Brian Anderson,Human Centered Design,Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/brianmanderson/,
Kristie  Douglass,Kristie  Douglass,Program management,Cox Communications,Atlanta,Georgia,,,,https://www.linkedin.com/in/kristie-douglass/,
Jonathan Lanken,Jonathan Lanken,Corporate Development workshop?,Cox Communications,Atlanta,Georgia,,,,https://www.linkedin.com/in/jonathan-lanken-5979254/,
Jeff Haynes,Jeff Haynes,Marketing Senior Manager,Cox Communications,Atlanta,Georgia,,,,https://www.linkedin.com/in/jeffehaynes/,
Dane Bamburry,Dane Bamburry,Sr. Director Enterprise Architecture,Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/danebamburry/,
Michelle Workman,Michelle Workman,"Sr. Director, Strategy & Prod Enablement",Cox Enterprises,Atlanta,Georgia,,,,,
TreVorski Garrett,TreVorski Garrett,"Diector, Corporate Strategy",Cox Communications,Atlanta,Georgia,,,,https://www.linkedin.com/in/tylongarrett/,
Brandon  Arentson,Brandon  Arentson,"Director, IT Process Excellence",Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/brandonarentson/,
Alexander De Clerck,Alexander De Clerck,"Director, Strategic Planning",Cox Automotive,Atlanta,Georgia,,,,https://www.linkedin.com/in/alexanderdc/,
Michael Rock,Michael Rock,Lead Product Manager,Cox Automotive,Atlanta,Georgia,,,,https://www.linkedin.com/in/michaelrock/,
Amanda Miller,Amanda Miller,AVP HRTS,Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/amanda-miller-b2a6016/,
Julie  Neuburger,Julie  Neuburger,"Director, Product Marketing",Cox Communications,Atlanta,Georgia,,,,https://www.linkedin.com/in/julieneuburger/,
Dennis Norman,Dennis Norman,Senior Director Product,Cox Communications,Atlanta,Georgia,,,,https://www.linkedin.com/in/dmnorman4/,
Alpesh Patel,Alpesh Patel,AVP Operations Management,Cox Automotive,Atlanta,Georgia,,,,https://www.linkedin.com/in/alpeshpatellinkedin/,
George Richter,George Richter,SVP Supply Chain Management,Cox Communications,Atlanta,Georgia,,,,https://www.linkedin.com/in/georgerichter/,
Eric Schwartz,Eric Schwartz,"Sr Director, Product Management",Cox Automotive,Atlanta,Georgia,,,,https://www.linkedin.com/in/eric-schwartz-49a5668/,
Paul Radspinner,Paul Radspinner,Head of Product,Cox Communications,Atlanta,Georgia,,,,https://www.linkedin.com/in/matthewshorts/,Paul Radspinner |
Bem Iordaah,Bem Iordaah,Founder,Radii Health,Palo Alto,California,,"Design Thinking, Branding, B2C Sales, Go-To Market Strategy, Growth Strategy, Market Research, Marketing, Pitching, Product Development, Product Research, Social Media, Other","Currently building Radii Health, an innovative health tech startup developing an integrated EMR system for hospitals and a secure, ethics-aligned sandbox for data exploration, cohort building, and AI model prototyping — with tools for clinical, analytical, and machine learning research. Radii powers care, discovery, and decision-making through three seamlessly integrated products and is currently piloting with five hospitals across Africa.
Previously worked as a Product Management Resident at S",https.//www.linkedin.com/in/bemiordaah,
Josh Figuered,Josh Figuered,Co-Founder,Novium,Bloomington,Indiana,,"Automation, Business Development, Design Thinking, Founder Wellness","Josh Figuered spent 10 years designing humanoid and vehicular robotic platforms at NASA Johnson Space Center before joining Nauticus Robotics. At Nauticus Josh led a team of engineers to design the manipulators and perception system of the company's flagship robotic platform, Aquanaut, before moving on to become the company's Director of Mechanical Engineering. In 2021 Josh co-founded Novium, a value centered engineering services company specializing in robotics, automation, and electrification.",https://www.linkedin.com/in/josh-figuered-613372b9/,https://www.noviumdesigns.com/
Anne Marie Murphy,Anne Marie Murphy,Director of Small Business/Associate State Director,Indiana Small Business Development Center,Fort Wayne,Indiana,,"B2B Sales, Business Development, Diversity, Equity, and Inclusion (DEI), Founder Wellness, Growth Strategy, Human Resources, Fundraising, KPIs and Business Metrics, Marketing, Pitching, Sales, Social Impact and Corporate Responsibility, Software Development, Leadership and Management","Serial entrepreneur with several successful exits and recent founder of a tech start-up funded by Techstars. Social impact, implicit bias, maternal and infant mortality, and business mentorships are my areas of interest. Master's prepared advance practice nurse. Love saving others from making the same mistakes I made.",https://www.linkedin.com/in/annemarielabenberg/,https://isbdc.org/
Aaron Petty,Aaron Petty,CEO,Mitivate,Atlanta,Kentucky,United States of America (USA),"Founder Wellness, Leadership and Management, Market Research","Aaron was born in Kentucky and is a proud University of Kentucky graduate. Aaron was a member of the of multiple Corporate Development teams at a healthcare services firms, including one IPO process and an associate at a middle market private equity firm. He is an active member of the of the local business community serving as the Co-Chair of the Technology Industry Group with the Georgia Minority Supplier Diversity Council, and served as a board member for the Metro Atlanta Chamber of Commerce",,www.mitivate.co
Anuraag Tripathi,Anuraag Tripathi,Founder,Manifest,chicago,Illinois,,,"**This is a past ORIA Founder** 3x founder - working on my third startup and second in the 401(k) industry. Our products have helped grow participant retirement savings by $300MM over the last five years.
Former investment banker. Became passionate about helping people save by volunteering to restructure Illinois' pension liabilities.",https://www.linkedin.com/in/anuraagtripathi/,
Antonio Parks,Antonio Parks,Founder & Fractional COO,Century Breeze,,,,"Automation, KPIs and Business Metrics, Leadership and Management","Feeling overwhelmed with Day-to-Day operations? Imagine having streamlined processes that free up your time and energy to focus on what you do best. With my support, you can simplify your day-to-day tasks and scale your business with ease.
I specialize in helping businesses identify weak spots and implement solutions that drive growth. Picture a future where your operations are running smoothly, your revenue is growing, and you have the bandwidth to take your business to new heights. Your ideal",https://www.linkedin.com/in/antonio-parks/,https://www.linkedin.com/company/century-breeze/
Anthony Abney,Anthony Abney,Principal,Bronze Valley,Birmingham,Alabama,United States of America (USA),"Fundraising, Revenue Models",Principal at Bronze Valley,https://www.linkedin.com/in/anthony-abney-6a327364/,bronzevalley.com
Ruben Anthony Jr,Ruben Anthony Jr,President/CEO,Urban League of Greater Madison,Madison,Wisconsin,United States of America (USA),"Business Development, Diversity, Equity, and Inclusion (DEI), Go-To Market Strategy, Growth Strategy, Higher Education, Leadership and Management, Main Street/Small Business, Market Research, Pitching, Manufacturing, Product Development, Product Research, Regulatory and Compliance, Revenue Models, Sales, Sustainability, Workforce Development, Other, Intellectual Property and Licensing, Fundraising, Founder Wellness, Finance, Design Thinking, Data and Analytics","President/CEO Urban League of Greater Madison
Dr. Ruben Anthony has been the President and CEO of the Urban League of Greater Madison since March of 2015. He is leading the fight to build generational wealth for the BIPOC community through homeownership programs, and he is also co-founder of the Black Business Hub.
Over the past 30 years Ruben has been a senior manager in the public, private and not profit sectors. He is a subject matter expert (SME) in developing job placement strategies a",Ruben Anthony Jr,www.ulgm.org
Anthony Apollo,Anthony Apollo,Executive Director,Wyoming Stable Token Commission,Cheyenne,Wyoming,United States of America (USA),"Leadership and Management, Software Development, Automation, Business Development, Pitching, Product Research, Revenue Models, Sales, Fundraising","Anthony J. Apollo is the inaugural Executive Director of the Wyoming Stable Token Commission. Anthony brings his experience in both traditional finance (KPMG, EY) and Web3 startups (ConsenSys, Rensa) to the Commission. Prior to his tenure in Wyoming state government, Anthony launched blockchain-native projects around intellectual property, debt securities, multimedia licenses, and real-time payments to content creators.
Anthony is also an alumni of the gBETA Wyoming program.",https://www.linkedin.com/in/anthony-apollo/,https://stabletoken.wyo.gov
Anthony Molzahn,Anthony Molzahn,CEO,Devii,Fargo,North Dakota,United States of America (USA),"Automation, B2B Sales, Branding, Business Development, Data and Analytics, Design Thinking, Fundraising, Leadership and Management, KPIs and Business Metrics, Marketing, Pitching, Product Research, Revenue Models, Sales, Software Development, Other, Cybersecurity, Market Research, Social Emotional Learning (SEL)","Digital Transformation Specialist | UI/UX Expert | Business Development Leader | B2B & Enterprise Focused | Software Industry Behavioralist
Anthony, CEO of Devii.io, is a cheerful visionary who is quick to solutions. He leverages educational and career experiences in art, hospitality, leadership, and engineering to move good ideas forward, faster.",https://www.linkedin.com/in/anthony-molzahn/,www.devii.io
Anthony Lauderdale,Anthony Lauderdale,CEO & Founder,Magna Reign,Saline,Michigan,,"Regulatory and Compliance, Other, Growth Strategy, Diversity, Equity, and Inclusion (DEI), Cybersecurity, Founder Wellness, Leadership and Management","Anthony Lauderdale is a cybersecurity leader, founder of Magna Reign, and trusted advisor to startups, high growth companies, and venture capital firms. Drawing on experience that spans national security, Fortune 100 enterprises, and hypergrowth tech, Anthony helps organizations treat security as a competitive advantage by building high trust, investor ready programs that accelerate growth and reduce deal friction.
Over his career, Anthony has held pivotal security and leadership roles at Feder",https://www.linkedin.com/in/anthonylauderdale/,https://magnareign.com/
Ante Grgic,Ante Grgic,Founder and CEO,"Grgic Consulting, LLC",Denver,Colorado,United States of America (USA),Software Development,"Founder and CEO of Grgic Consulting Group, which specializes in B2B E-commerce system implementation and development. Life-long technologist and startup enthusiast.",https://www.linkedin.com/in/ante-grgic/,www.grgicconsulting.com
Anshiqa Agrawal,Anshiqa Agrawal,Tech-driven Innovation strategist,"ex-Steve Madden, Climate-tech Venture Building",Ann Arbor,Michigan,United States of America (USA),"B2B Sales, Branding, Business Development, Design Thinking, Market Research, Sustainability, Social Impact and Corporate Responsibility, Product Research, Go-To Market Strategy","Having worked in venture building & corporate innovation in NY, Anshiqa is super passionate dedicating her time to drive Michigan's next-gen economy. As a tech-driven innovation strategist, she brings over 5 years of experience in venture/corporate innovation, market research, stakeholder engagement and project development. Working across industries, like climate-tech, apparel, and supply chain innovation, she has helped companies build goal-aligned partnerships, and has helped design and launch",https://www.linkedin.com/in/anshiqa-agrawal/,https://sites.google.com/view/anshiqa-portfolio
Nida Ansari,Nida Ansari,CEO,Hardtech Indiana,Carmel,Indiana,United States of America (USA),"Go-To Market Strategy, Growth Strategy, Pitching","Nida worked in innovation and strategy for almost 15 years with a variety of Fortune 200 companies, and has launched several products that are still on shelves all over the world. She brings expertise in supply chain, product launch, manufacturing, and strategy.
Most recently, she has taught storytelling and pitching, been the MD for a hardtech accelerator, an investor and is now a connector for founders.",www.linkedin.com/in/nidaansari,https://www.linkedin.com/company/hardtech-indiana/
Amber Porter,Amber Porter,Sr VC Associate,AmFam Institute,Monona,Wisconsin,,"Diversity, Equity, and Inclusion (DEI), Fundraising, KPIs and Business Metrics, Leadership and Management, Pitching, Social Emotional Learning (SEL), Social Impact and Corporate Responsibility","Amber H. H. Porter is a Senior Venture Associate at the American Family Insurance Institute for Corporate and Social Impact, where she identifies social enterprises that close equity gaps in America for potential venture capital investment under 'Economic Opportunity for All' and 'Healthy Youth Development' investment verticals. In working with entrepreneurs, she finds her passion in their stories - particularly those of founders who are transforming their lived experiences into scalable solutio",linkedin.com/in/amberhhporter,www.amfaminstitute.com
Annie Wood,Annie Wood,Associate Director for Student Life,Minnesota State University Moorhead,Fargo,North Dakota,United States of America (USA),"Founder Wellness, Higher Education, Human Resources, Leadership and Management, Workforce Development","Annie Wood thinks of herself as a combination of life experiences - she's a learning facilitator, an experiential educator, and a community builder. Her day-to-day work in student life on a college campus is really the perfect mash-up to use the skills she's developed. In her role, she helps folks explore who they are and where they want to go - through formal programs, mentorship, and encouraging them to follow their curiosities.
Annie is a believer in lifelong learning and aims to live with a",https://www.linkedin.com/in/anniefwood/,https://bento.me/anniefwood
Annette Miller,Annette Miller,CEO,EQT By Design,Madison,Wisconsin,,"Business Development, B2C Sales, Design Thinking, Diversity, Equity, and Inclusion (DEI), Founder Wellness, Fundraising, Leadership and Management, Pitching","Annette Miller has lived in Madison since 1989 with her life partner, Mike, and three children they have raised together. Annette's career spans decision-making roles across state and local government and as an executive in the private sector. She brings 25 years of strong professional policy and analytic skills, and a wide network of community, government, and business relationships, especially with Dane County's diverse populations.
Annette launched EQT By Design to focus on developing dive",https://www.linkedin.com/company/eqtbydesign,eqtbydesign.com
Anna Maria Viti-Welch,Anna Maria Viti-Welch,President,Guy Viti Insurance agency,Highwood,Illinois,United States of America (USA),"Business Development, Other, Sales","Bio: Anna Maria Viti-Welch has been in the Insurance industry for over 30 years, and is President of The VITI Companies, a third-generation, family-owned independent insurance agency since 1938 - celebrating 85 years this year. The VITI Companies provides customized insurance solutions for individuals and businesses of all sizes and types. Anna Maria specializes in consulting with small businesses, start-ups, restaurants, and even non-profits. The VITI Companies is licensed in most states, and h",https://www.linkedin.com/in/annamariavitiwelch,www.viticompanies.com
Anna Harrison,Anna Harrison,CEO & Founder,RAMMP,Brisbane,Other,,"B2B Sales, Branding, Design Thinking, Go-To Market Strategy, Growth Strategy, Market Research, Marketing, Pitching, Product Development, Product Research","Dr. Anna Harrison is Australia's foremost consumer interaction specialist and 'Brand Relationships Therapist'. She is a built-form Architect and digital technologist who has spent a lifetime navigating how humans engage with the world.
Anna has been running a successful startup and scaleup ""marketing"" program in AUS/NZ for the last 4 years, and is looking to expand her reach to the USA.
A published Author, Speaker and Academic, Dr Anna pioneered the ADORETM methodology; an evidence-based proc",https://www.linkedin.com/in/annaharrison/,https://www.annaharrison.com/
Ann Vaughn,Ann Vaughn,Startup Banking Associate,JP Morgan Chase,,Georgia,,Fundraising,,https://www.linkedin.com/in/ann-vaughn-38897813a/,jpmorgan.com
